country_name,survey_name,survey_consumption_unit,standard_unit_code,standard_unit_name
MWI,IHS5,SCUD,,
MWI,IHS5,SERVING,,
MWI,IHS5,SLICE,,
MWI,IHS5,SMALL  PACKET,,
MWI,IHS5,SMALL BOTTLE,,
MWI,IHS5,SMALL BOX TEA BAGS,,
MWI,IHS5,SMALL BUCKET,,
MWI,IHS5,SMALL DENGU,,
MWI,IHS5,SMALL HEAP,,
MWI,IHS5,SMALL NALI,,
MWI,IHS5,SMALL PACKAGE,,
MWI,IHS5,SMALL PACKET,,
MWI,IHS5,SMALL PACKET GOLD TEA,,
MWI,IHS5,SMALL POCKET,,
MWI,IHS5,SMALL POT,,
MWI,IHS5,SMALL SACHET,,
MWI,IHS5,SMALL SARCHET,,
MWI,IHS5,SMALL TABLE SALT PACKETS,,
MWI,IHS5,SMALL TIN,,
MWI,IHS5,SMALL TINA FLAT,,
MWI,IHS5,SPICE LEAVES,,
MWI,IHS5,SPONS,,
MWI,IHS5,TABLE SPOON,,
MWI,IHS5,TABLESALT PACKET,,
MWI,IHS5,TABLESOAT,,
MWI,IHS5,TABLESPOON,,
MWI,IHS5,TAKEAWAY BOX,,
MWI,IHS5,TBE,,
MWI,IHS5,TEA AND SNACKS,,
MWI,IHS5,TEA BAG,,
MWI,IHS5,TEASPOON,,
MWI,IHS5,TIMES,,
MWI,IHS5,TIN 100G,,
MWI,IHS5,TIN 250G,,
MWI,IHS5,TIN 500G,,
MWI,IHS5,TINA,,
MWI,IHS5,TINA (HEAPED),,
MWI,IHS5,TINA FLAT,,
MWI,IHS5,TINA HEAPED,,
MWI,IHS5,TINA LARGE,,
MWI,IHS5,TINA MEDIUM,,
MWI,IHS5,TINA SMALL,,
MWI,IHS5,TONEC,,
MWI,IHS5,TOTI,,
MWI,IHS5,TRAY,,
MWI,IHS5,TUB,,
MWI,IHS5,VELMOT,,
MWI,IHS5,VETA,,
MWI,IHS5,WHOLE,,
MWI,IHS5,WINNOWER,,
