country,survey,unit_name,unit_code,entries_count,priority
MWI,IHS5,1000G PACKET,23,1,4
MWI,IHS5,10G PACKET,23,1,4
MWI,IHS5,10KG PAIL,23,1,4
MWI,IHS5,135G PACKET,23,1,4
MWI,IHS5,1LITRE BOTTLE SUPER,23,1,4
MWI,IHS5,20G,23,1,4
MWI,IHS5,25 GRAM SATCHET,23,1,4
MWI,IHS5,250 GRAM,23,1,4
MWI,IHS5,350L BOTTLE,23,1,4
MWI,IHS5,3LITRE BUCKET,82,1,2
MWI,IHS5,6 PACK,23,1,4
MWI,IHS5,60 GRAMS,99F,1,3
MWI,IHS5,80G PACKET,23,1,4
MWI,IHS5,BAKERY DONAS,23,1,4
MWI,IHS5,BAR,23,1,4
MWI,IHS5,BIG PACKET,55,1,2
MWI,IHS5,BIG POT,23,1,4
MWI,IHS5,BOX SMALL,23,1,4
MWI,IHS5,CAN,23,1,4
MWI,IHS5,CARTON SMALL,23,1,4
MWI,IHS5,CHISA,23,1,4
MWI,IHS5,CLOVE,23,1,4
MWI,IHS5,CUBES,23,1,4
MWI,IHS5,DROPS,23,1,4
MWI,IHS5,G,18,1,2
MWI,IHS5,HALF PACKET,23,1,4
MWI,IHS5,HALF PAIL,4G,1,2
MWI,IHS5,HEAP TINA,25B,1,2
MWI,IHS5,JAG,23,1,4
MWI,IHS5,JAR,23,1,4
MWI,IHS5,LARGE NDOWA,23,1,4
MWI,IHS5,LARGE POT,23,1,4
MWI,IHS5,LARGE SATCHET,23,1,4
MWI,IHS5,LARGE TINA,23,1,4
MWI,IHS5,LOAF,23,1,4
MWI,IHS5,MEALS AT WORK,23,1,4
MWI,IHS5,MEDIAM SACHET,22B,1,2
MWI,IHS5,MEDIUM BASKET,23,1,4
MWI,IHS5,MEDIUM TINS,23,1,4
MWI,IHS5,PACKET 300G,23,1,4
MWI,IHS5,PACKET OF 125 GRAMS,23,1,4
MWI,IHS5,QUARTER,80,1,2
MWI,IHS5,QUOTER,23,1,4
MWI,IHS5,QUOTER BOTTLE,23,1,4
MWI,IHS5,SA HETS,22,1,2
MWI,IHS5,SACHET LARGE,23,1,4
MWI,IHS5,SATCHET/ PACKET,23,1,4
MWI,IHS5,SAUCER,23,1,4
MWI,IHS5,SLICE,23,1,4
MWI,IHS5,SMALL BOX TEA BAGS,23,1,4
MWI,IHS5,SMALL BUCKET,23,1,4
MWI,IHS5,SMALL NALI,23,1,4
MWI,IHS5,SMALL PACKAGE,54,1,2
MWI,IHS5,SMALL PACKET GOLD TEA,23,1,4
MWI,IHS5,SMALL POCKET,54,1,2
MWI,IHS5,SMALL SARCHET,22A,1,2
MWI,IHS5,SMALL TABLE SALT PACKETS,23,1,4
MWI,IHS5,SPICE LEAVES,23,1,4
MWI,IHS5,TABLESALT PACKET,51,1,2
MWI,IHS5,TABLESOAT,23,1,4
MWI,IHS5,TAKEAWAY BOX,23,1,4
MWI,IHS5,TBE,22,1,2
MWI,IHS5,TEA AND SNACKS,23,1,4
MWI,IHS5,TIMES,23,1,4
MWI,IHS5,TINA MEDIUM,23,1,4
MWI,IHS5,TONEC,23,1,4
MWI,IHS5,TOTI,23,1,4
MWI,IHS5,TUB,22,1,2
MWI,IHS5,VETA,23,1,4
MWI,IHS5,WINNOWER,23,1,4
