country,survey,item_code_code,item_code_name,priority,source,standard_food_code,standard_food_name
MWI,IHS5,505,GOAT,1,MWI-IHS5-standard-list,505,GOAT
MWI,IHS5,506,PORK,1,MWI-IHS5-standard-list,506,PORK
MWI,IHS5,507,MUTTON,1,MWI-IHS5-standard-list,507,MUTTON
MWI,IHS5,508,CHICKEN - WHOLE,1,MWI-IHS5-standard-list,508,CHICKEN - WHOLE
MWI,IHS5,509,"OTHER POULTRY - GUINEA FOWL, DOVES, ETC",1,MWI-IHS5-standard-list,509,"OTHER POULTRY - GUINEA FOWL, DOVES, ETC"
MWI,IHS5,510,"SMALL ANIMAL – RABBIT, MICE, ETC",1,MWI-IHS5-standard-list,510,"SMALL ANIMAL – RABBIT, MICE, ETC"
MWI,IHS5,511,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)",1,MWI-IHS5-standard-list,511,"TERMITES, OTHER INSECTS (EG NGUMBI, CATERPILLAR)"
MWI,IHS5,512,TINNED MEAT OR FISH,1,MWI-IHS5-standard-list,512,TINNED MEAT OR FISH
MWI,IHS5,514,FISH SOUP/SAUCE,1,MWI-IHS5-standard-list,514,FISH SOUP/SAUCE
MWI,IHS5,522,CHICKEN - PIECES,1,MWI-IHS5-standard-list,522,CHICKEN - PIECES
MWI,IHS5,601,MANGO,1,MWI-IHS5-standard-list,601,MANGO
MWI,IHS5,602,BANANA,1,MWI-IHS5-standard-list,602,BANANA
MWI,IHS5,603,"CITRUS – NAARTJE, ORANGE, ETC",1,MWI-IHS5-standard-list,603,"CITRUS – NAARTJE, ORANGE, ETC"
MWI,IHS5,604,PINEAPPLE,1,MWI-IHS5-standard-list,604,PINEAPPLE
MWI,IHS5,605,PAPAYA,1,MWI-IHS5-standard-list,605,PAPAYA
MWI,IHS5,606,GUAVA,1,MWI-IHS5-standard-list,606,GUAVA
MWI,IHS5,607,AVOCADO,1,MWI-IHS5-standard-list,607,AVOCADO
MWI,IHS5,608,"WILD FRUIT (MASAU, MALAMBE, ETC)",1,MWI-IHS5-standard-list,608,"WILD FRUIT (MASAU, MALAMBE, ETC)"
MWI,IHS5,609,APPLE,1,MWI-IHS5-standard-list,609,APPLE
MWI,IHS5,610,OTHER FRUITS (SPECIFY),1,MWI-IHS5-standard-list,610,OTHER FRUITS (SPECIFY)
MWI,IHS5,701,FRESH MILK,1,MWI-IHS5-standard-list,701,FRESH MILK
MWI,IHS5,702,POWDERED MILK,1,MWI-IHS5-standard-list,702,POWDERED MILK
MWI,IHS5,703,MARGARINE - BLUE BAND,1,MWI-IHS5-standard-list,703,MARGARINE - BLUE BAND
MWI,IHS5,704,BUTTER,1,MWI-IHS5-standard-list,704,BUTTER
MWI,IHS5,705,CHAMBIKO - SOURED MILK,1,MWI-IHS5-standard-list,705,CHAMBIKO - SOURED MILK
MWI,IHS5,706,YOGHURT,1,MWI-IHS5-standard-list,706,YOGHURT
MWI,IHS5,707,CHEESE,1,MWI-IHS5-standard-list,707,CHEESE
MWI,IHS5,708,INFANT FEEDING FORMULA (FOR BOTTLE),1,MWI-IHS5-standard-list,708,INFANT FEEDING FORMULA (FOR BOTTLE)
MWI,IHS5,801,SUGAR,1,MWI-IHS5-standard-list,801,SUGAR
MWI,IHS5,802,SUGAR CANE,1,MWI-IHS5-standard-list,802,SUGAR CANE
MWI,IHS5,803,COOKING OIL,1,MWI-IHS5-standard-list,803,COOKING OIL
MWI,IHS5,810,SALT,1,MWI-IHS5-standard-list,810,SALT
MWI,IHS5,811,SPICES,1,MWI-IHS5-standard-list,811,SPICES
MWI,IHS5,812,"YEAST, BAKING POWDER, BICARBONATE OF SODA",1,MWI-IHS5-standard-list,812,"YEAST, BAKING POWDER, BICARBONATE OF SODA"
MWI,IHS5,813,TOMATO SAUCE (BOTTLE),1,MWI-IHS5-standard-list,813,TOMATO SAUCE (BOTTLE)
MWI,IHS5,814,"HOT SAUCE (NALI, ETC)",1,MWI-IHS5-standard-list,814,"HOT SAUCE (NALI, ETC)"
MWI,IHS5,815,"JAM, JELLY",1,MWI-IHS5-standard-list,815,"JAM, JELLY"
MWI,IHS5,816,"SWEETS, CANDY, CHOCOLATES",1,MWI-IHS5-standard-list,816,"SWEETS, CANDY, CHOCOLATES"
MWI,IHS5,817,HONEY,1,MWI-IHS5-standard-list,817,HONEY
MWI,IHS5,820,MAIZE - BOILED OR ROASTED (VENDOR),1,MWI-IHS5-standard-list,820,MAIZE - BOILED OR ROASTED (VENDOR)
MWI,IHS5,821,CHIPS (VENDOR),1,MWI-IHS5-standard-list,821,CHIPS (VENDOR)
MWI,IHS5,822,CASSAVA - BOILED (VENDOR),1,MWI-IHS5-standard-list,822,CASSAVA - BOILED (VENDOR)
MWI,IHS5,823,EGGS - BOILED (VENDOR),1,MWI-IHS5-standard-list,823,EGGS - BOILED (VENDOR)
MWI,IHS5,824,CHICKEN (VENDOR),1,MWI-IHS5-standard-list,824,CHICKEN (VENDOR)
MWI,IHS5,825,MEAT (VENDOR),1,MWI-IHS5-standard-list,825,MEAT (VENDOR)
MWI,IHS5,826,FISH (VENDOR),1,MWI-IHS5-standard-list,826,FISH (VENDOR)
MWI,IHS5,827,"MANDAZI, DOUGHNUT (VENDOR)",1,MWI-IHS5-standard-list,827,"MANDAZI, DOUGHNUT (VENDOR)"
MWI,IHS5,828,SAMOSA (VENDOR),1,MWI-IHS5-standard-list,828,SAMOSA (VENDOR)
MWI,IHS5,829,MEAL EATEN AT RESTAURANT,1,MWI-IHS5-standard-list,829,MEAL EATEN AT RESTAURANT
MWI,IHS5,831,BOILED SWEET POTATOES,1,MWI-IHS5-standard-list,831,BOILED SWEET POTATOES
MWI,IHS5,832,ROASTED SWEET POTATOES,1,MWI-IHS5-standard-list,832,ROASTED SWEET POTATOES
MWI,IHS5,833,BOILED GROUNDNUTS,1,MWI-IHS5-standard-list,833,BOILED GROUNDNUTS
MWI,IHS5,834,ROASTED GROUNDNUTS,1,MWI-IHS5-standard-list,834,ROASTED GROUNDNUTS
MWI,IHS5,835,POPCORN,1,MWI-IHS5-standard-list,835,POPCORN
MWI,IHS5,836,ZIKONDAMOYO / NKATE,1,MWI-IHS5-standard-list,836,ZIKONDAMOYO / NKATE
MWI,IHS5,837,KALONGONDA (MUCUNA),1,MWI-IHS5-standard-list,837,KALONGONDA (MUCUNA)
