country,survey_name,survey_food_item_name,standard_original_food_id,standard_original_food_name,source
MWI,IHS5,EGGS PLANTS,402,CABBAGE,mwi-ihs5-non_standard_food_list
MWI,IHS5,MABILINGANO,402,CABBAGE,mwi-ihs5-non_standard_food_list
MWI,IHS5,MPILU,403,TANAPOSI/RAPE,mwi-ihs5-non_standard_food_list
MWI,IHS5,RAPE,403,TANAPOSI/RAPE,mwi-ihs5-non_standard_food_list
MWI,IHS5,TANAPOSI/RAPE,403,TANAPOSI/RAPE,mwi-ihs5-standard_food_list
MWI,IHS5,BONONGWE,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,CASSAVA LEAVES,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHISOSO,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHITAMBE,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,KHOLOWA,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,KHWANYA,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,KWANYA,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,LUNI,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,MTAMBE,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,NKHWANI,404,NKHWANI,mwi-ihs5-standard_food_list
MWI,IHS5,NTAPASHA,404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,NTAPASHA (CASSAVA LEAVES),404,NKHWANI,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHINESE CABBAGE,405,CHINESE CABBAGE,mwi-ihs5-standard_food_list
MWI,IHS5,OTHER CULTIVATED GREEN LEAFY VEGETABLES,406,OTHER CULTIVATED GREEN LEAFY VEGETABLES,mwi-ihs5-standard_food_list
MWI,IHS5,GATHERED WILD GREEN LEAVES,407,GATHERED WILD GREEN LEAVES,mwi-ihs5-standard_food_list
MWI,IHS5,TOMATO,408,TOMATO,mwi-ihs5-standard_food_list
MWI,IHS5,CUCUMBER,409,CUCUMBER,mwi-ihs5-standard_food_list
MWI,IHS5,MKHAKA,409,CUCUMBER,mwi-ihs5-non_standard_food_list
MWI,IHS5,MPHONDA,410,PUMPKIN,mwi-ihs5-non_standard_food_list
MWI,IHS5,PUMPKIN,410,PUMPKIN,mwi-ihs5-standard_food_list
MWI,IHS5,PUMPKINS,410,PUMPKIN,mwi-ihs5-non_standard_food_list
MWI,IHS5,CHAMWAMBA,411,OKRA / THERERE,mwi-ihs5-non_standard_food_list
MWI,IHS5,GATHERED THERERE,411,OKRA / THERERE,mwi-ihs5-non_standard_food_list
MWI,IHS5,KATATA,411,OKRA / THERERE,mwi-ihs5-non_standard_food_list
