country,survey_name,survey_food_item_name,standard_original_food_id,standard_original_food_name,source
MWI,IHS5,MSAWAWA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,MUSHROOM SOUP,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,NGWIME,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,NKHANO,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,NKHOWE,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,NSAULA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,NSAWAWA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,NTHUDZA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,NUTS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,NYENJE,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,OLIVE OIL,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,PEANUT,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,PEANUT BUTTER,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,PEAS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,PUPWE,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,"RASPBERRIES,STRAWBERRIES",NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,SAUSAGE,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,SAWAWA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,SAYA PIECES,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,SNACKS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,SOA PIECES,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,SOAP PIECE,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,TCHANA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,TIGER PUFF SNACKS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,TINNED BEANS,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,WATER HYACINTH,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,WATER MELON,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,WATERMELON,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,ZIMBAMBA/MAKWERA,NA,,mwi-ihs5-non_standard_food_list
MWI,IHS5,ZINYANYA,NA,,mwi-ihs5-non_standard_food_list
